"Archip","sp_id","IDsps","species","commonName","grp","ext_date_min","ext_date_max","ext_date","year_last_recorded","p_records","p_threats","fossil_max","fossil_min"
"New Caledonia",1,"x285","Accipiter efficax","powerful goshawk","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",2,"x284","Accipiter quartus","gracile goshawk","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",3,"x272","Aceros sp./Lifou","Lifou Hornbill","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",1,"x227","Aegotheles novazelandiae","New Zealand owlet-nightjar","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",1,"x474","Aepyornis hildebrandti","Hildebrandt's elephant bird","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar",2,"x475","Aepyornis maximus","Giant elephant bird","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Cook*",1,"x297","Aerodramus manuoi","Mangaia swiftlet","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",1,"x274","aff.Tadorna sp./Kauai","undescribed long-legged duck","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",2,"x173","Aidemedia chascax","Oahu icterid-like gaper","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",3,"x172","Aidemedia lutetiae","Maui Nui icterid-like gaper","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Hawaii",4,"x174","Aidemedia zanclops","Sickle-billed gaper","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Pitcairn*",1,"x280","Alopecoenas leonpascoi","Ground-dove","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",4,"x287","Alopecoenas longitarsus","New Caledonian ground dove","fossil",NA,NA,NA,NA,NA,NA,NA,NA
"Marquesas",1,"x298","Alopecoenas nui","Giant ground dove","fossil",NA,NA,NA,NA,NA,NA,NA,NA
