"species","ref.date","authority","described"
"Accipiter efficax","Balouet, J.C. & Olson, S.L. (1989) Smithsonian Contributions to Zoology, 1–38.","Balouet & Olson 1989",1989
"Accipiter quartus","Balouet, J.C. & Olson, S.L. (1989) Smithsonian Contributions to Zoology, 1–38.","Balouet & Olson 1989",1989
"Aegotheles novazelandiae","Holdaway, R.N., et al. (2002) Journal of the Royal Society of New Zealand, 32, 653–667.","Scarlet 1968",1968
"Aegypius prepyrenaicus","Hernández Carrasquilla, F. (2001). Ardeola, 48, 47–53.","Hernández Carrasquilla 2001",2001
"Aepyornis hildebrandti","Hawkins, A. F. A. & Goodman, S. M. (2003) University of Chicago Press, p. 1026–1029","Burckhardt 1893",1893
"Aepyornis maximus","Hawkins, A. F. A. & Goodman, S. M. (2003) University of Chicago Press, p. 1026–1029","Saint-Hilaire 1851",1851
"Aerodramus manuoi","Steadman, D.W. (2002) Journal of Vertebrate Paleontology, 22, 326–331.","Steadman 2002",2002
"Aidemedia chascax","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Aidemedia lutetiae","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Aidemedia zanclops","James, H.F. & Olson, S.L. (1991) Ornithological Monographs, 1–88.","James & Olson 1991",1991
"Aiolornis incredibilis","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Howard 1952",1952
"Alopecoenas leonpascoi","Worthy, T.H. & Wragg, G.M. (2003) Journal of the Royal Society of New Zealand, 33, 769–793.","Worthy & Wragg 2003",2003
"Alopecoenas longitarsus","PaleoDB: Pindai Caves","Balouet & Olson 1989",1989
"Alopecoenas nui","Steadman, D.W. (2002) Proceedings of the Biological Society of Washington, 115, 1–17.","Steadman & Pahlavan 1992",1992
"Alopochen sirabensis","Burney, D. (2004) Journal of Human Evolution, 47, 25–63.","Andrews 1897",1897
"Amplibuteo hibbardi","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
"Amplibuteo woodwardi","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Miller 1911",1911
"Anabernicula gracilenta","Tyrberg, T. (2008). Oryctos, 7, 249–269.","Ross 1935",1935
"Anas amotape","Campbell, K.E. et al. (1979) Royal Ontario Museum.","Campbell et al. 1979",1979
