"Archip","Elev","Temp","Prec","varT","varP"
"Andaman*",123.9094325,27.47523126,2335.354586,7.449215137,36
"Andaman*",1.414711146,27.45407694,2442.395869,7.5,42
"Andaman*",16.62245909,27.5,2436.611842,7.500026449,42
"Andaman*",6.953508616,27.55125452,2514.82507,7.8,45
"Andaman*",0,27.4,2511.418731,7.8,48
"Andaman*",67.64511401,27,2853.140405,8.4,60
"Andaman*",18.69067258,26.85627404,2849.884986,8.619127261,60.62503145
"Andaman*",5.451038753,27.4,2518.750675,8.2,51
"Andaman*",41.43487222,26.9,3157.822832,9,64
"Andaman*",52.51906698,26.8,3040.097425,8.8,62
"Andaman*",63.89781699,26.86792914,3265,9.120291131,71.21938019
"Andaman*",59.33602666,26.79311306,3080.658747,9.14819354,70.43165164
"Andaman*",28.90731313,27.07632224,3015.128433,8.6,80
"Andaman*",73.05210292,27.12819148,3049.342246,8.617014995,80.14244696
"Andaman*",0,27,2982.977205,9.4,91
"Andaman*",1.122845259,27.3,2462.861306,8.4,83
"Andaman*",0,27.1,2504.99233,8.4,93
"Andaman*",0.386614496,27.15065002,2455.171484,8.538052711,83
"Auckland*",72.58653795,7.17971764,1592.318702,11.82654172,8.142809776
"Auckland*",120.479083,7.5,1575.811531,11.91291556,8.02155449
"Auckland*",87.15326984,7.6,1555.474438,12.01132733,8.435881157
"Austral*",0,23.4,1992.539483,10.2491456,32
"Austral*",0,23.09409211,2040.922105,10.6,22
"Azores",72.96703646,18,774.6200032,13.7,45.08945188
"Azores",323.8529395,17.47051295,1072.050628,14.02851903,38.75567973
"Azores",99.96735463,17.09015438,1105.212717,14.33885733,38.9095439
"Azores",107.1030614,17.5,1163.95373,13.50940209,32.80346873
"Azores",318.7471773,17.5682236,1271.552572,13.2,33.22250715
"Azores",146.3105796,17.37641399,1170.897045,13.15015649,44.20737264
"Azores",177.0640962,17.34986661,1515.097425,13.81854203,36.66895296
"Azores",18.55193476,17.44368064,1499.084278,13.80511994,37.13929194
"Azores",36.72663498,16.91928039,1472.913412,13.9,37.40036238
"Bahamas*",4.311753675,25.8,751.1421226,12.20686219,42.76143929
"Bahamas*",2.990574131,25.90762359,2120.361926,12.6,31.09525336
"Bahamas*",0,26.2,711.0785338,10.94729152,47.00082633
"Bahamas*",0,26.2,626,10.96361371,47.36386295
"Bahamas*",0,26.2,607,11,47
"Bahamas*",2.80088149,25.9,798.7766465,11.87474975,42
"Bahamas*",2.897509401,26.2,735.3474972,11,42
"Bahamas*",1.39280935,26.29784211,848.3300613,12.04313462,47.22331291
"Bahamas*",0,26.5,717.4911177,12.4,56.51559236
"Bahamas*",1.831953936,26.10027136,867,11.83476171,42.03590473
"Bahamas*",0,26.3723902,889.8494716,12.4,53
"Bahamas*",1.557494128,26.35021504,897.9647237,12.07265673,49.41673931
"Bahamas*",2.2277867,25.82853683,1081.575111,12.34055381,52.27188093
"Bahamas*",1.840275615,25.8,974.9691513,12.2,53.97345467
"Bahamas*",5.182674649,25.35996523,982.510609,13.6,51
"Bahamas*",0.126103297,25.2,997.5616591,14.11412945,58
"Bahamas*",4.230933568,25.1,1262.43161,14.1,58
"Bahamas*",0.427391216,25.5,1065,12.6,57
"Bahamas*",7.920523238,25.1,1301.789734,13.49545522,57.23237748
"Bahamas*",1.019880983,24.9,1113,13.68467792,49.6580326
"Bahamas*",0.02917986,25.1,1273,14.29458018,53
"Bahamas*",5.804540768,24.9,1314.652179,13.84280628,49.02054621
"Bahamas*",2.249357998,25.5,963,12.61542855,56
