ID_weigelt,Region,Long,Lat,Archip_weigelt,Archip,Archip_1,Archip_2,Archip_3,Archip_4,Archip_5,Archip_6,Archip_7,Island,Island_1,Area
8489,1,-32.425866,-3.856477,Fernando de Noronha,Fernando*,Fernando de Noronha,NA,NA,NA,NA,NA,NA,Ilha de Fernando de Noronha,NA,21.1
19158,2,-31.20249,39.44195,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha das Flores,NA,140.98
19159,2,-31.105223,39.699105,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha do Corvo,NA,17.12
19103,2,-28.701332,38.578217,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha do Faial,NA,173.09
19100,2,-28.333573,38.469473,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha do Pico,NA,444.97
19139,2,-28.029236,38.637234,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha de Sao Jorge,NA,243.78
19152,2,-28.011327,39.052294,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha Graciosa,NA,60.69
19146,2,-27.2123,38.723901,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha Terceira,NA,400.56
19038,2,-25.481891,37.7954,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha de Sao Miguel,NA,744.72
18774,2,-25.099823,36.971334,Azores,Azores,Azores,NA,NA,NA,NA,NA,NA,Ilha de Santa Maria,NA,96.89
18235,3,-18.006624,27.746526,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,El Hierro,NA,273.52
18247,3,-17.858329,28.68988,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Isla de La Palma,La Palma,716.46
18241,3,-17.232609,28.117411,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,La Gomera,NA,372.21
18614,3,-16.99913,32.746337,Madeira Archipelago,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Ilha da Madeira,Madeira Islands,740.94
18243,3,-16.55631,28.291062,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Isla de Tenerife,Tenerife,2040.14
18460,3,-16.51515,32.528582,Madeira Archipelago,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Deserta Grande,NA,10.29
18726,3,-16.342174,33.06918,Madeira Archipelago,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Ilha de Porto Santo,NA,40.33
18240,3,-15.593194,27.954821,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Isla de Gran Canaria,Gran Canaria,1571.35
18245,3,-14.036486,28.406106,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Isla de Fuerteventura,Fuerteventura,1669.88
18246,3,-13.821679,28.750013,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Lobos,NA,5.39
18249,3,-13.641825,29.024478,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Isla de Lanzarote,Lanzarote,818.57
18255,3,-13.51139,29.399411,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Isla de Alegranza,NA,11.22
18251,3,-13.509177,29.252305,Canary Islands,Canaries*,Canary and Madeira Islands,Canary Islands,Madeira Archipelago,NA,NA,NA,NA,Isla Graciosa,NA,29.2
8452,4,-14.367031,-7.943513,Ascension Island,Ascension*,Ascension Island,NA,NA,NA,NA,NA,NA,Ascension Island,NA,99.36
7731,5,-12.678065,-37.300503,Tristan da Cunha Islands,Tristan*,Gough Island,Tristan da Cunha Islands,NA,NA,NA,NA,NA,NA,NA,14.7
7733,5,-12.285103,-37.112443,Tristan da Cunha Islands,Tristan*,Gough Island,Tristan da Cunha Islands,NA,NA,NA,NA,NA,Tristan da Cunha,NA,98.06
7465,5,-9.942323,-40.318811,Gough Island,Tristan*,Gough Island,Tristan da Cunha Islands,NA,NA,NA,NA,NA,Penguin Islet,NA,72.11
85150,6,-5.708494,-15.959406,Saint Helena,Saint Helena,Saint Helena,NA,NA,NA,NA,NA,NA,Saint Helena Island,NA,168.13
53065,7,1.41095,38.983251,Balearic Islands,Balearic*,Balearic Islands,NA,NA,NA,NA,NA,NA,Isla de Ibiza,NA,576.67
52999,7,1.458441,38.692306,Balearic Islands,Balearic*,Balearic Islands,NA,NA,NA,NA,NA,NA,Isla de Formentera,NA,87.32
53083,7,2.943801,39.14508,Balearic Islands,Balearic*,Balearic Islands,NA,NA,NA,NA,NA,NA,Isla Cabrera,NA,12.32
53185,7,2.956607,39.613452,Balearic Islands,Balearic*,Balearic Islands,NA,NA,NA,NA,NA,NA,Isla de Mallorca,NA,3637.75
53200,7,4.073689,39.960245,Balearic Islands,Balearic*,Balearic Islands,NA,NA,NA,NA,NA,NA,Isla de Menorca,NA,702.2
53091,8,8.275109,39.140917,Sardinia,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di San Pietro,NA,53.09
53305,8,8.279557,41.05539,Sardinia,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Asinara,NA,53.17
53063,8,8.410389,39.041493,Sardinia,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di Sant'Antioco,NA,111.87
52719,8,8.929875,37.525649,NA,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,La Galite,NA,8.27
53330,8,9.036224,40.090224,Sardinia,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola di Sardegna,NA,23784.2
38877,8,9.105559,42.151732,Corsica,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Corse,NA,8739.21
53331,8,9.411553,41.233204,Sardinia,Sardinia*,Corsica,Sardinia,Tuscan Archipelago,Galite Islands,Pantelleria,Pelagie Islands,Pontine Islands,Isola Maddalena,NA,21.94
